AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 0.566051 -0.167665 -0.0782981 -0.121323 0.0291806 0
1 1 0.56531 -0.167637 -0.0780259 -0.127703 0.0239309 -169.982
1 2 0.566051 -0.166259 -0.0766805 -0.12779 0.0228002 -169.982
2 0 2.87614 0.000541704 -0.0887536 -0.0130219 0.00336851 0
2 1 2.87424 0.00109696 -0.0890903 -0.020371 0.00890274 -116.511
2 2 2.8751 0.000981899 -0.0894304 -0.0195595 0.00799381 -116.511
3 0 -2.83853 -0.0600332 0.00505265 -0.0346046 0.0164859 0
3 1 -2.8368 -0.0623841 0.00570195 -0.0345749 0.0159838 77.4593
3 2 -2.83584 -0.0576769 0.00686329 -0.0350483 0.0146589 77.4587
4 0 -1.39202 0.121627 0.0460053 0.0851612 0.0353447 0
4 1 -1.39394 0.119426 0.0436431 0.0724541 0.0471992 -173.153
4 2 -1.39394 0.119097 0.0435697 0.0833131 0.0346715 -173.153
5 0 3.34323 -0.0865636 -0.0425432 -0.0743714 0.00918049 0
5 1 3.34323 -0.0847898 -0.0407147 -0.0736157 0.00797534 -90.2375
5 2 3.34438 -0.0833572 -0.0390849 -0.064626 0.0162438 -90.2362
6 0 3.536 0.0729817 0.0332478 0.0559215 0.0141248 0
6 1 3.536 0.07196 0.0321941 0.0566944 0.0120317 89.9358
6 2 3.536 0.0714221 0.0317142 0.0567846 0.0113785 89.9358
